frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,stop_line_mm,stop_line_hit
48,2.4000,1,hybrid:ecc,0.9047,0.171,1049.2,996.6,-177.047,-1514.8,-181.1,-1603.9,1546.6,3020.0,1785.2,3109.1,57.5,1450.0,,,planar,571.6,542.2,1529.2,544.7,1526.9,1451.0,569.3,1448.5,-616.0,-134.7,-705.1,1593.0,2260.2,13.7,2171.1,1741.4,522.5,0
49,2.4500,1,hybrid:ecc,0.9050,0.171,1049.3,996.9,-177.250,-1518.8,-171.7,-1601.8,1556.3,3022.8,1778.5,3105.8,50.5,1450.0,,,planar,570.0,544.2,1527.6,543.3,1528.5,1449.6,570.9,1450.5,-619.9,-128.5,-702.9,1599.5,2256.8,9.7,2173.8,1737.7,525.0,0
50,2.5000,1,hybrid:ecc,0.9044,0.171,1049.2,996.6,-177.047,-1514.8,-181.1,-1603.9,1546.6,3020.0,1785.2,3109.1,57.5,1450.0,,,planar,571.6,542.2,1529.2,544.7,1526.9,1451.0,569.3,1448.5,-616.0,-134.7,-705.1,1593.0,2260.2,13.7,2171.1,1741.4,522.5,0
51,2.5500,1,hybrid:ecc,0.9048,0.171,1049.3,996.9,-177.250,-1518.8,-171.7,-1601.8,1556.3,3022.8,1778.5,3105.8,50.5,1450.0,,,planar,570.0,544.2,1527.6,543.3,1528.5,1449.6,570.9,1450.5,-619.9,-128.5,-702.9,1599.5,2256.8,9.7,2173.8,1737.7,525.0,0
52,2.6000,1,hybrid:ecc,0.9046,0.171,1049.2,996.6,-177.047,-1514.8,-181.1,-1603.9,1546.6,3020.0,1785.2,3109.1,57.5,1450.0,,,planar,571.6,542.2,1529.2,544.7,1526.9,1451.0,569.3,1448.5,-616.0,-134.7,-705.1,1593.0,2260.2,13.7,2171.1,1741.4,522.5,0
53,2.6500,1,hybrid:ecc,0.9078,0.171,1049.1,996.9,-177.238,-1518.8,-172.2,-1602.1,1555.8,3022.5,1778.9,3105.8,50.9,1450.0,,,planar,570.0,544.1,1527.6,543.4,1528.2,1449.7,570.6,1450.4,-619.8,-128.8,-703.2,1599.2,2256.8,9.9,2173.5,1737.9,524.7,0
54,2.7000,1,hybrid:ecc,0.9146,0.171,1048.8,996.7,-177.023,-1514.7,-182.1,-1604.5,1545.6,3019.2,1786.1,3109.1,58.4,1450.0,,,planar,571.4,542.1,1529.0,545.0,1526.3,1451.3,568.7,1448.4,-615.9,-135.3,-705.7,1592.4,2260.2,14.3,2170.4,1742.0,521.9,0
55,2.7500,1,hybrid:ecc,0.9154,0.171,1048.9,997.1,-177.220,-1518.6,-172.8,-1602.5,1555.2,3022.0,1779.7,3105.9,51.7,1450.0,,,planar,569.9,544.1,1527.4,543.7,1527.9,1450.0,570.3,1450.4,-619.7,-129.2,-703.6,1598.8,2256.9,10.5,2173.0,1738.5,524.3,0
56,2.8000,1,hybrid:ecc,0.9153,0.171,1048.8,996.7,-177.017,-1514.5,-182.3,-1604.6,1545.3,3019.1,1786.3,3109.2,58.7,1450.0,,,planar,571.4,542.1,1529.0,545.1,1526.2,1451.4,568.6,1448.4,-615.8,-135.5,-705.8,1592.2,2260.3,14.4,2170.3,1742.1,521.8,0
57,2.8500,1,hybrid:ecc,0.9154,0.171,1048.9,997.1,-177.220,-1518.6,-172.8,-1602.5,1555.2,3022.0,1779.7,3105.9,51.7,1450.0,,,planar,569.8,544.1,1527.4,543.7,1527.9,1450.0,570.3,1450.4,-619.7,-129.2,-703.6,1598.8,2256.9,10.5,2173.0,1738.5,524.3,0
58,2.9000,1,hybrid:ecc,0.9153,0.171,1048.8,996.7,-177.017,-1514.5,-182.3,-1604.6,1545.3,3019.1,1786.3,3109.2,58.7,1450.0,,,planar,571.4,542.1,1529.0,545.1,1526.2,1451.4,568.6,1448.4,-615.8,-135.5,-705.8,1592.2,2260.3,14.4,2170.3,1742.1,521.8,0
59,2.9500,1,hybrid:ecc,0.9154,0.171,1048.8,997.1,-177.232,-1519.0,-172.3,-1602.5,1555.7,3022.1,1779.3,3105.6,51.3,1450.0,,,planar,569.8,544.2,1527.4,543.6,1527.9,1449.9,570.3,1450.5,-620.0,-128.8,-703.5,1599.2,2256.6,10.3,2173.1,1738.2,524.3,0
60,3.0000,1,hybrid:ecc,0.9167,0.171,1048.7,996.7,-177.029,-1514.9,-181.8,-1604.6,1545.9,3019.2,1785.9,3108.9,58.2,1450.0,,,planar,571.3,542.2,1528.9,545.0,1526.2,1451.3,568.6,1448.5,-616.1,-135.1,-705.8,1592.5,2260.0,14.2,2170.4,1741.8,521.8,0
